,date,maxTemp,minTemp,meanTemp,heatDegDays,coolDegDays,totalRainMM,totalSnowCM,totalPrecipMM,snowOnGroundCM,dirOfMaxGust10sDEG,spdOfMaxGustKMH,season
145,2010-05-26,29.9,15.6,22.8,0.0,4.8,,,0.0,,,,spring
146,2010-05-27,29.3,15.7,22.5,0.0,4.5,,,0.0,,,,spring
147,2010-05-28,29.9,16.0,23.0,0.0,5.0,,,1.2,,,,spring
148,2010-05-29,27.6,14.8,21.2,0.0,3.2,,,0.0,,,,spring
149,2010-05-30,28.5,11.4,20.0,0.0,2.0,,,0.0,,,,spring
150,2010-05-31,30.9,14.7,22.8,0.0,4.8,,,29.0,,,,spring
151,2010-06-01,24.0,14.7,19.4,0.0,1.4,,,13.8,,,,summer
152,2010-06-02,22.9,13.6,18.3,0.0,0.3,,,6.8,,,,summer
153,2010-06-03,22.0,12.7,17.4,0.6,0.0,,,16.5,,,,summer
154,2010-06-04,23.1,12.7,17.9,0.1,0.0,,,21.2,,,,summer
155,2010-06-05,25.1,14.7,19.9,0.0,1.9,,,7.4,,,,summer
156,2010-06-06,18.9,11.0,15.0,3.0,0.0,,,22.4,,,,summer
157,2010-06-07,19.3,8.2,13.8,4.2,0.0,,,0.0,,,,summer
158,2010-06-08,19.9,5.5,12.7,5.3,0.0,,,0.0,,,,summer
159,2010-06-09,22.9,12.3,17.6,0.4,0.0,,,6.1,,,,summer
160,2010-06-10,21.0,12.2,16.6,1.4,0.0,,,0.0,,,,summer
161,2010-06-11,24.0,12.7,18.4,0.0,0.4,,,0.0,,,,summer
162,2010-06-12,28.9,17.0,23.0,0.0,5.0,,,0.0,,,,summer
163,2010-06-13,20.6,16.6,18.6,0.0,0.6,,,0.0,,,,summer
164,2010-06-14,25.4,16.3,20.9,0.0,2.9,,,0.0,,,,summer
165,2010-06-15,24.5,17.2,20.9,0.0,2.9,,,0.0,,,,summer
166,2010-06-16,25.7,13.7,19.7,0.0,1.7,,,14.9,,,,summer
167,2010-06-17,23.6,13.3,18.5,0.0,0.5,,,0.0,,,,summer
168,2010-06-18,25.5,12.0,18.8,0.0,0.8,,,0.0,,,,summer
